id,path,label
AAACWKPZ,./train/AAACWKPZ.ogg,fake
AAAQOZYI,./train/AAAQOZYI.ogg,fake
AAAWBXQE,./train/AAAWBXQE.ogg,real
AABHDRLX,./train/AABHDRLX.ogg,real
AABXXHMU,./train/AABXXHMU.ogg,real
AACAYDKC,./train/AACAYDKC.ogg,real
AACBAWMZ,./train/AACBAWMZ.ogg,real
AACEAXVU,./train/AACEAXVU.ogg,real
AACHVERO,./train/AACHVERO.ogg,real
AACYAWEH,./train/AACYAWEH.ogg,real
AADDNUMU,./train/AADDNUMU.ogg,real
AADKWHEE,./train/AADKWHEE.ogg,real
AADPDAER,./train/AADPDAER.ogg,fake
AADQUEFI,./train/AADQUEFI.ogg,real
AAECEROJ,./train/AAECEROJ.ogg,fake
AAEYTHSY,./train/AAEYTHSY.ogg,real
AAFFVAWD,./train/AAFFVAWD.ogg,fake
AAFNYPXE,./train/AAFNYPXE.ogg,real
AAGDMPXZ,./train/AAGDMPXZ.ogg,fake
AAGIITHH,./train/AAGIITHH.ogg,real
AAGXILIN,./train/AAGXILIN.ogg,fake
AAGZDQDL,./train/AAGZDQDL.ogg,fake
AAHKQWBB,./train/AAHKQWBB.ogg,fake
AAIGXLUD,./train/AAIGXLUD.ogg,fake
AAIINGWH,./train/AAIINGWH.ogg,real
AAIKZLBQ,./train/AAIKZLBQ.ogg,fake
AAIXOVVV,./train/AAIXOVVV.ogg,fake
AAIYWHUF,./train/AAIYWHUF.ogg,fake
AAJEQLVT,./train/AAJEQLVT.ogg,fake
AAJKXPIW,./train/AAJKXPIW.ogg,real
AAJMPRLS,./train/AAJMPRLS.ogg,fake
AAJSFGQB,./train/AAJSFGQB.ogg,fake
AAKKEAOL,./train/AAKKEAOL.ogg,fake
AAKXVWXI,./train/AAKXVWXI.ogg,real
AALITDLH,./train/AALITDLH.ogg,fake
AALMMBOZ,./train/AALMMBOZ.ogg,real
AALVLTSV,./train/AALVLTSV.ogg,fake
AAMMREFE,./train/AAMMREFE.ogg,fake
AANJJHYA,./train/AANJJHYA.ogg,fake
AANOXTME,./train/AANOXTME.ogg,real
AANUFJBH,./train/AANUFJBH.ogg,real
AAOEAZJW,./train/AAOEAZJW.ogg,fake
AAOFKKOG,./train/AAOFKKOG.ogg,real
AAOYUWCN,./train/AAOYUWCN.ogg,real
AAPELQFY,./train/AAPELQFY.ogg,fake
AAPGWSKV,./train/AAPGWSKV.ogg,real
AAPWJSUB,./train/AAPWJSUB.ogg,real
AAQBLCRK,./train/AAQBLCRK.ogg,real
AAQBNHMD,./train/AAQBNHMD.ogg,fake
AAQBQXCT,./train/AAQBQXCT.ogg,real
AAQFLJFN,./train/AAQFLJFN.ogg,real
AAQJRBNN,./train/AAQJRBNN.ogg,fake
AAQNTEKV,./train/AAQNTEKV.ogg,real
AAQQXFSY,./train/AAQQXFSY.ogg,fake
AARBSIOH,./train/AARBSIOH.ogg,real
AARGVJZI,./train/AARGVJZI.ogg,fake
AARGWRKZ,./train/AARGWRKZ.ogg,fake
AARRJAAQ,./train/AARRJAAQ.ogg,real
AASWUMSW,./train/AASWUMSW.ogg,real
AATCFCVI,./train/AATCFCVI.ogg,real
AATLVEWK,./train/AATLVEWK.ogg,real
AATQICFM,./train/AATQICFM.ogg,fake
AATTJCGE,./train/AATTJCGE.ogg,real
AATTWSHA,./train/AATTWSHA.ogg,fake
AAUAYKVM,./train/AAUAYKVM.ogg,fake
AAUEYCPM,./train/AAUEYCPM.ogg,real
AAUSMRIH,./train/AAUSMRIH.ogg,fake
AAUTECVW,./train/AAUTECVW.ogg,fake
